999,Guelph,AA,-5.0,38,-85,197.5994110107422
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
1/1/1900,14:00,0,0,488.72498,0,0,932.27094,0,0,51.474392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.726959,0,0,-2.7857301,0,0,31.580763,0,0,989.7117,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/1/1900,15:00,0,0,408.54373,0,0,883.11743,0,0,49.490925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.040005,0,0,-2.3296382,0,0,32.015457,0,0,989.75037,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/1/1900,16:00,0,0,279.60455,0,0,779.0317,0,0,45.890793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.418427,0,0,-1.4125592,0,0,35.686024,0,0,989.78906,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/1/1900,17:00,0,0,124.11579,0,0,547.4399,0,0,38.401554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.818317,0,0,-0.6848637,0,0,41.827854,0,0,989.82776,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/1/1900,18:00,0,0,1.5067061,0,0,0.0,0,0,1.5067061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.743906,0,0,-0.23969606,0,0,49.631306,0,0,989.86646,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/1/1900,19:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2152405,0,0,1.1008453,0,0,56.701363,0,0,989.90515,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/1/1900,20:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.686575,0,0,1.2923245,0,0,59.587624,0,0,989.9438,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/1/1900,21:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.157909,0,0,1.2960202,0,0,61.7863,0,0,989.9825,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/1/1900,22:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.629244,0,0,0.90401185,0,0,62.268177,0,0,990.0212,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1/1/1900,23:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1005783,0,0,-0.1825123,0,0,59.65896,0,0,990.0599,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
